fast,normal
112,125
106,120
103,125
104,122
106,123
110,123
104,125
109,124
105,123
105,121
103,122
107,121
109,121
107,124
109,123
114,123
107,123
106,122
115,126
112,123
105,124
106,126
113,123
112,122
116,126
105,123
105,122
109,123
102,120
105,121
106,127
105,120
109,123
111,124
104,121
109,123
108,122
108,124
106,126
107,124
110,123
103,121
106,122
116,123
113,126
104,122
109,123
115,129
110,122
110,124
105,123
111,122
103,123
106,123
111,123
104,123
111,121
109,125
107,122
107,122
106,122
105,122
107,123
113,130
112,123
112,125
110,123
105,121
104,123
108,122
112,123
110,122
103,124
107,121
105,121
106,122
106,122
111,124
109,121
116,125
106,122
106,125
108,125
106,124
107,121
118,123
112,123
105,121
111,123
108,123
106,120
105,125
102,125
107,121
110,122
110,123
107,121
110,122
108,122
109,121
111,123
107,125
105,121
106,121
113,125
106,122
112,123
108,123
110,123
100,123
107,122
111,124
111,125
111,122
107,122
111,122
118,124
112,124
110,124
108,124
109,124
108,122
107,122
112,124
105,122
109,122
106,124
107,122
109,119
109,124
115,124
118,123
105,122
109,122
110,123
105,122
106,122
114,122
108,123
108,121
114,124
110,122
97,119
80,118
106,121
85,125
82,110
90,119
80,105
105,120
87,118
88,118
103,127
94,122
110,147
104,119
107,124
112,129
110,128
112,123
107,125
107,123
115,126
112,123
110,129
109,125
115,125
109,125
107,122
114,122
111,127
105,124
105,123
105,121
109,127
96,113
100,116
92,119
98,123
107,122
110,124
113,125
108,123
114,122
102,122
112,126
105,122
109,130
113,125
110,122
110,124
104,123
106,120
105,129
105,123
90,115
81,114
100,121
103,123
88,118
85,112
78,106
82,110
79,109
81,111
299,116
92,122
95,112
98,122
84,115
91,113
104,122
96,117
100,125
115,126
106,122
108,123
103,122
118,122
97,116
91,114
82,331
97,117
103,118
96,116
86,110
91,110
86,111
96,113
103,119
109,119
104,125
96,119
96,111
90,109
95,124
92,119
108,122
89,119
105,119
81,111
104,111
83,114
93,122
88,113
83,113
80,110
81,106
86,118
85,109
96,111
105,121
93,120
80,112
80,112
86,115
82,112
90,114
101,121
103,120
98,120
94,113
87,119
92,119
85,116
104,126
96,116
80,113
88,119
94,122
92,115
96,112
85,111
104,122
97,120
100,118
102,116
84,112
90,116
96,113
292,121
93,120
99,125
87,121
91,114
105,121
97,124
96,120
101,125
102,123
92,118
87,113
96,114
96,115
112,125
85,105
95,120
104,125
94,116
87,110
97,119
93,116
306,324
92,118
100,121
98,119
105,116
96,113
84,116
93,114
98,120
103,118
105,118
100,122
99,120
94,119
93,118
90,116
94,114
102,112
305,120
96,325
102,119
108,112
105,126
92,328
95,326
95,118
100,122
94,119
90,120
111,115
95,116
101,118
110,121
105,120
97,118
93,119
300,117
92,117
94,119
105,124
94,328
99,118
93,116
110,115
302,109
101,119
306,115
39300,119
79,109
81,107
95,118
100,120
101,113
106,122
85,155
102,118
78,106
99,115
81,115
96,116
107,119
101,124
106,326
102,327
96,125
93,118
84,114
96,115
100,117
99,325
97,120
104,121
88,328
322,118
93,118
102,121
92,117
89,121
103,120
301,116
114,119
96,120
99,121
89,324
100,115
105,113
99,127
96,117
99,119
98,118
104,123
93,120
110,116
103,116
303,121
100,124
100,122
97,119
90,115
87,117
103,115
99,114
103,116
94,115
99,117
94,118
97,121
95,329
103,121
92,114
91,118
93,321
302,125
108,121
95,122
100,124
94,121
104,120
101,115
101,126
94,117
103,118
99,116
93,121
94,115
103,118
97,117
97,123
98,118
97,113
95,324
95,326
107,119
98,118
102,120
105,112
101,124
98,117
108,121
89,321
99,115
105,112
93,324
99,119
104,120
303,116
97,115
94,127
90,115
89,115
101,123
99,117
100,118
303,115
100,123
93,331
102,117
97,113
107,121
297,117
95,536
94,115
101,124
101,114
321,120
94,123
100,117
95,112
98,120
303,116
99,123
98,118
97,331
108,117
103,123
104,118
97,533
98,124
105,121
95,123
100,118
107,114
95,119
104,116
93,537
305,113
101,117
100,121
311,115
87,323
99,115
90,114
103,121
89,324
90,327
95,112
88,328
309,117
109,116
95,118
96,111
103,118
104,323
98,325
105,119
102,116
101,120
91,321
97,332
305,117
100,125
100,118
514,120
102,114
102,122
307,111
103,121
94,325
102,120
102,121
108,119
304,114
100,119
101,111
101,116
104,115
103,118
85,327
313,116
101,119
99,122
302,111
102,120
106,119
104,119
304,115
519,117
99,121
105,119
308,119
102,332
104,116
107,122
105,116
99,126
101,323
98,124
97,117
308,116
109,110
101,123
95,327
103,123
99,320
104,122
97,115
100,121
108,119
99,117
89,119
112,122
93,119
97,112
97,125
92,327
295,119
106,117
91,119
93,113
100,124
81,107
91,116
101,124
100,115
86,110
97,123
99,120
310,118
301,117
95,119
90,114
105,124
91,111
103,116
104,119
90,122
310,119
302,119
105,128
95,325
103,119
99,118
103,121
94,113
102,123
92,119
86,318
95,323
306,115
103,118
97,322
101,125
93,331
102,119
103,117
103,123
97,114
93,115
107,124
301,113
94,121
304,116
104,123
92,324
100,115
97,321
102,115
95,321
103,122
303,117
104,124
102,319
103,123
100,113
101,122
94,121
102,119
72,78
68,80
62,76
69,217
64,76
69,80
65,78
210,79
69,77
65,80
57,216
67,82
71,77
64,81
60,78
206,78
71,78
64,78
62,77
68,80
65,222
67,83
61,219
214,79
68,78
72,81
61,74
76,79
61,77
65,74
63,77
67,80
67,76
69,78
59,81
69,85
67,79
65,79
59,81
65,81
56,82
65,78
60,75
72,82
73,82
73,82
73,81
68,83
75,83
70,83
75,82
77,82
71,81
74,82
75,81
68,80
73,81
72,82
71,81
68,81
71,80
71,82
68,81
71,83
73,81
75,82
73,83
75,80
69,80
72,82
74,84
58,76
70,81
72,81
72,80
77,81
68,82
70,83
75,79
72,82
70,80
73,82
73,81
74,82
71,81
71,81
70,82
67,80
74,82
69,82
71,81
70,84
71,81
78,83
71,83
72,80
63,78
75,82
70,80
69,81
67,81
69,82
69,81
70,82
73,81
71,81
74,82
67,83
73,81
70,82
73,80
69,81
75,79
72,81
70,83
75,82
75,84
68,83
71,83
76,83
69,82
70,83
71,84
69,81
70,83
72,81
71,82
71,81
72,83
72,82
71,81
70,83
73,82
73,82
74,83
74,82
76,81
70,81
73,83
71,82
74,81
70,83
70,81
72,81
69,82
70,81
76,81
73,81
71,81
71,81
76,82
68,80
70,82
71,82
71,83
69,82
74,81
75,82
73,83
68,82
70,80
77,83
69,81
76,83
70,83
70,84
72,80
71,82
75,81
72,81
74,84
72,83
72,81
73,82
72,81
74,82
74,82
70,82
72,80
68,82
71,81
72,84
72,81
71,80
74,82
68,83
71,84
73,82
76,83
70,83
75,85
77,82
73,81
76,81
71,81
70,82
69,82
71,82
71,81
69,82
75,81
72,81
71,82
74,83
72,81
70,81
71,82
74,85
73,80
74,84
73,82
74,81
74,83
70,81
71,82
70,83
74,82
68,82
68,82
71,83
74,83
72,82
74,85
72,80
71,81
69,82
72,84
76,82
75,82
73,82
71,81
73,80
73,84
70,81
68,81
71,80
75,82
76,82
75,82
72,83
73,81
71,81
70,81
69,82
74,81
74,84
71,82
76,84
68,82
74,81
74,82
69,83
74,86
71,84
75,81
69,81
75,82
75,81
73,82
70,82
73,83
71,84
74,84
72,81
76,83
78,84
71,82
77,82
73,81
73,81
72,84
78,84
76,83
74,82
69,81
70,82
76,83
69,81
71,81
70,80
71,82
71,81
70,81
70,81
72,81
76,81
71,81
70,81
72,82
72,83
70,81
75,82
71,82
75,83
73,82
76,83
71,82
73,82
73,83
68,80
74,81
70,80
72,81
76,83
73,83
71,82
71,81
76,81
74,83
69,83
68,82
72,82
73,83
69,82
71,83
70,82
72,80
70,81
76,85
72,80
77,81
72,82
70,82
73,82
69,80
77,84
70,80
68,80
71,83
70,81
71,84
71,84
72,81
73,81
75,84
72,81
72,83
76,83
71,82
72,81
74,81
71,82
69,83
69,82
71,83
73,81
74,82
71,80
71,82
68,81
71,80
70,80
72,82
70,82
76,82
73,81
73,83
71,81
71,83
70,81
70,82
77,82
70,82
71,82
72,83
72,82
71,82
73,82
76,83
74,80
75,81
76,81
74,83
70,81
73,83
70,81
71,81
72,82
72,81
71,82
71,83
69,82
68,81
70,81
68,82
75,81
69,84
74,81
69,82
71,83
73,82
73,81
76,85
73,82
73,81
73,82
70,81
73,82
72,81
77,82
71,82
72,81
74,81
70,83
69,82
72,83
72,82
72,82
73,82
70,81
73,82
72,81
73,81
73,82
78,82
68,82
75,82
74,82
75,82
69,83
70,81
72,83
70,81
69,81
71,82
72,84
74,83
74,85
69,82
68,81
71,83
69,81
71,81
72,82
76,84
71,82
75,83
72,82
69,81
76,82
75,85
75,83
73,82
73,81
71,82
73,82
72,81
68,81
77,83
72,83
73,81
74,84
72,82
74,82
77,82
73,82
73,82
70,81
73,81
70,83
67,80
71,81
72,82
71,81
72,81
72,82
77,84
70,81
72,82
70,81
72,79
70,83
75,83
70,82
72,81
69,82
72,80
70,79
77,82
70,81
72,79
69,83
73,81
74,82
73,80
70,81
71,83
71,82
71,81
71,82
70,82
73,85
74,81
74,82
72,81
70,82
72,85
76,81
