fast,normal
35,40
36,40
34,39
35,40
34,41
36,41
33,39
32,41
35,40
33,41
35,39
33,41
34,40
35,39
36,41
27,37
32,39
26,36
35,40
35,41
35,40
31,40
37,40
35,40
36,42
35,41
30,39
35,42
36,40
35,40
29,37
32,38
27,35
35,39
26,36
26,36
26,35
29,36
26,36
34,39
36,43
35,40
36,41
30,40
35,39
26,36
26,36
26,36
27,36
36,41
34,42
32,41
30,39
32,39
35,42
26,35
27,36
26,36
26,35
36,40
34,41
33,40
34,39
36,40
34,39
30,38
36,40
34,39
35,40
34,41
36,39
35,41
33,42
32,39
33,38
36,39
27,35
26,36
26,36
26,36
36,43
33,39
33,40
35,41
36,40
35,40
34,41
37,39
38,39
32,41
36,41
35,40
36,40
35,41
35,40
31,40
34,41
27,36
27,35
26,36
27,36
34,41
33,42
34,40
32,41
37,41
33,40
36,38
32,38
33,40
33,41
35,40
36,39
34,38
31,39
36,40
26,37
27,35
27,35
26,35
34,40
35,40
34,41
34,41
33,37
33,40
33,40
31,39
36,39
26,35
35,39
34,41
35,39
33,41
26,36
27,36
27,35
27,35
35,39
36,42
35,40
31,38
32,44
34,39
35,40
36,40
35,39
36,41
35,41
35,41
37,41
34,40
35,39
29,36
32,39
27,35
35,40
35,43
30,40
31,41
32,40
34,41
36,41
34,42
34,40
35,41
36,40
33,41
30,41
35,40
26,36
26,36
27,36
27,35
35,41
35,40
36,41
32,39
33,39
37,40
37,39
36,40
34,39
38,40
36,39
34,40
32,39
36,40
26,35
27,35
26,35
26,36
35,40
35,41
33,40
30,38
35,39
36,40
37,39
35,39
34,40
34,40
36,41
34,41
29,38
34,39
26,35
38,39
26,36
26,36
26,35
26,35
31,40
36,40
33,39
33,40
32,40
33,40
32,40
34,40
34,41
35,38
31,37
34,41
26,36
27,35
27,36
27,35
35,40
32,41
34,40
35,42
35,41
35,40
35,40
34,40
36,38
34,41
34,41
34,40
34,39
34,41
34,40
37,39
34,42
37,40
33,40
34,41
34,39
28,36
33,39
28,35
37,41
31,40
33,41
33,38
35,40
32,39
32,41
35,39
34,40
33,39
34,43
37,39
37,41
35,39
36,40
29,37
32,39
27,35
36,40
34,40
34,40
34,40
33,39
35,41
36,40
33,40
36,39
31,40
34,40
34,41
34,38
36,42
35,40
31,37
34,41
32,41
31,40
26,36
27,36
28,35
34,41
26,35
25,35
27,35
27,35
26,35
26,35
26,35
27,35
26,34
26,35
26,35
26,35
26,35
26,35
27,35
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
27,35
26,35
27,35
26,35
27,35
27,35
25,35
26,35
27,36
27,34
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,34
26,35
27,35
25,34
26,35
26,35
27,35
27,36
26,35
26,35
26,35
26,34
27,35
26,35
27,35
26,35
26,35
27,35
26,35
27,35
27,35
27,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
26,34
26,35
25,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
27,35
26,36
26,35
26,35
26,34
26,35
26,35
26,35
26,36
26,35
26,35
27,35
26,35
26,35
27,35
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
27,35
26,35
27,35
26,35
26,35
27,34
26,35
27,35
26,35
26,35
26,34
27,34
27,35
26,35
27,35
27,35
26,35
26,35
25,35
26,35
25,36
27,35
26,35
26,35
26,35
26,35
26,35
27,35
27,35
26,34
26,35
26,35
26,35
27,35
27,34
27,35
26,35
27,35
26,35
26,34
26,35
26,35
27,35
27,35
26,35
26,36
26,35
26,35
27,35
26,36
26,34
26,35
26,35
26,34
26,35
27,35
26,35
26,35
26,35
26,35
26,35
27,36
26,35
26,35
26,35
26,35
27,35
27,35
27,35
26,35
26,35
26,35
26,35
27,35
26,34
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
26,36
26,35
27,35
26,34
27,35
27,35
26,35
26,35
25,35
26,34
26,35
27,35
26,35
26,35
26,34
26,35
26,34
26,35
26,35
27,35
26,34
26,35
27,35
27,35
26,36
26,35
26,34
26,35
26,35
26,35
26,34
27,35
26,36
27,35
27,36
27,34
25,34
26,35
26,35
26,35
26,35
26,34
26,35
26,35
26,35
26,34
26,34
26,35
26,35
26,36
26,35
26,36
26,35
26,35
26,34
26,35
26,34
26,35
26,36
26,35
26,35
26,35
27,35
27,35
26,34
27,35
26,35
27,34
26,35
26,35
26,34
26,35
25,35
25,35
26,35
26,35
26,35
26,35
26,35
26,34
26,35
26,35
26,35
27,35
27,35
27,36
26,35
27,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
27,35
27,36
26,35
26,35
26,34
26,35
27,34
26,35
26,38
26,34
26,36
26,35
25,34
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,36
27,35
26,35
26,35
26,34
27,35
25,35
26,35
26,35
27,35
26,34
26,35
26,35
26,35
26,34
26,35
27,35
26,35
26,35
27,35
26,35
26,34
27,35
26,35
27,35
27,34
26,36
26,35
26,35
26,34
26,35
26,34
27,35
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,36
26,35
27,35
26,35
26,35
26,35
27,35
26,35
27,35
26,35
26,35
26,35
26,35
27,35
26,34
27,35
27,35
26,35
26,35
26,35
26,35
27,35
26,35
25,35
26,35
26,35
27,35
26,34
26,35
26,35
26,35
26,35
26,35
27,35
26,34
26,35
27,35
26,34
26,35
26,35
27,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
27,35
27,35
26,35
27,34
26,35
26,35
26,35
26,34
26,35
26,35
27,35
27,35
26,35
26,34
26,35
27,34
26,35
27,35
26,35
26,35
26,36
26,34
26,35
27,35
26,35
26,34
27,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
25,35
26,35
26,34
26,36
26,35
27,35
26,35
26,35
26,35
26,34
26,35
26,35
27,35
26,35
26,35
26,35
26,36
26,35
26,35
26,34
27,34
26,35
27,35
26,34
26,35
26,35
26,35
27,35
26,34
27,35
26,35
27,35
26,34
26,35
26,35
27,35
26,35
26,34
27,35
26,35
26,35
27,35
26,35
26,35
26,34
26,35
26,35
26,34
27,36
26,35
26,35
26,35
27,34
26,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
26,34
26,34
26,35
27,35
26,34
27,34
27,35
27,35
26,36
26,35
27,35
27,35
26,35
26,35
26,35
26,35
26,34
26,35
25,35
26,35
26,35
26,34
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,34
27,34
27,35
26,35
26,35
26,35
26,35
26,35
26,36
26,34
26,35
27,36
26,35
26,35
27,35
26,35
26,34
27,34
27,35
25,35
26,35
26,35
26,35
26,35
27,34
27,35
25,34
26,34
26,35
27,35
26,35
26,35
25,35
27,34
26,35
26,35
26,34
26,35
26,35
26,35
27,35
26,35
26,35
26,34
26,35
26,34
27,35
27,35
26,35
26,35
26,35
26,35
25,35
26,35
26,35
27,35
27,35
26,35
26,35
26,35
27,35
27,35
26,35
26,34
27,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
26,36
26,35
26,35
27,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
27,34
26,35
26,35
26,35
26,37
26,35
26,35
26,35
26,35
26,35
26,35
26,34
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
27,36
26,35
26,35
26,35
26,35
26,36
26,35
26,35
27,35
26,34
27,35
27,35
27,35
26,35
26,35
26,35
27,35
26,34
27,35
26,34
26,35
27,35
27,35
27,35
26,35
26,35
27,35
26,35
27,35
26,34
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
27,35
26,35
26,35
26,34
26,35
27,35
26,35
25,35
27,35
27,35
27,35
26,34
26,35
26,35
26,35
27,34
26,35
26,35
26,34
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,36
26,34
26,35
27,35
26,35
26,35
26,35
26,35
26,35
26,34
26,36
27,35
26,34
26,35
26,36
27,35
27,35
26,35
27,35
27,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
26,35
27,35
26,35
26,35
27,35
27,35
26,35
25,35
26,35
26,34
26,35
26,34
27,34
26,35
26,34
26,35
26,34
25,35
27,35
26,38
26,35
27,35
27,35
26,34
27,34
26,35
26,35
27,35
26,35
26,35
26,35
27,35
26,35
26,35
26,35
26,35
26,35
26,34
26,35
27,36
26,35
27,35
26,35
26,35
26,35
25,35
26,35
27,35
26,35
27,35
27,35
26,35
26,34
25,35
26,36
27,35
26,35
27,35
27,35
26,36
26,35
26,35
26,35
27,35
26,35
27,35
26,36
26,35
26,35
27,35
26,35
26,35
27,35
26,35
26,36
26,35
26,35
27,35
26,35
26,34
27,35
26,35
26,35
26,35
26,35
27,36
26,35
26,35
26,35
27,35
27,35
27,35
27,35
26,35
26,35
27,34
26,35
26,35
27,35
27,35
27,35
27,35
27,35
26,35
26,35
26,35
27,35
27,35
27,35
26,36
26,35
27,35
26,35
26,34
26,35
26,35
26,35
26,35
27,36
26,35
26,35
26,35
26,35
22,29
23,30
23,30
23,30
22,30
22,30
23,30
23,30
23,30
22,30
22,29
22,31
22,30
22,30
22,30
23,31
23,30
23,30
23,29
22,29
23,30
22,30
23,30
23,29
23,30
22,30
23,30
22,30
22,30
24,30
22,30
23,29
23,31
22,30
22,30
22,29
22,31
23,30
23,31
22,31
22,30
23,31
22,30
22,29
22,30
23,30
23,30
22,30
22,30
23,29
23,31
23,30
23,30
22,30
22,30
23,30
26,33
26,32
25,31
29,35
26,34
25,33
26,32
22,30
22,30
22,30
22,30
23,30
22,30
22,30
23,30
23,30
22,30
23,30
23,30
22,30
22,31
23,30
22,31
23,29
22,30
22,30
23,30
22,30
22,30
22,30
23,30
23,30
22,30
23,30
22,29
22,30
22,29
22,30
22,30
22,30
23,30
22,30
22,30
22,30
22,30
22,30
22,30
23,30
23,30
23,31
22,29
23,30
22,31
23,30
22,31
23,29
22,30
22,30
22,30
22,30
22,30
22,30
23,30
22,29
23,30
22,30
21,30
22,30
23,30
22,29
22,29
22,31
22,30
22,30
22,30
22,30
23,30
23,30
22,30
22,30
23,30
22,30
23,30
22,30
22,30
22,30
23,30
22,30
22,30
23,29
23,29
22,30
23,29
23,30
22,30
22,29
22,30
23,30
23,30
22,30
23,30
22,30
23,30
22,29
22,29
22,29
22,30
23,29
23,30
22,30
21,30
23,30
22,30
22,30
23,30
22,30
22,30
22,30
22,31
22,30
23,29
23,30
22,30
22,30
22,30
23,30
23,30
22,30
23,30
22,31
22,30
22,30
23,30
22,30
22,30
22,29
23,30
22,30
24,30
23,30
22,30
22,30
23,30
22,30
22,30
22,30
23,30
22,29
22,30
23,30
22,30
22,29
22,31
23,30
23,30
22,29
23,30
22,30
21,30
23,29
22,30
23,30
23,30
22,30
22,30
22,30
23,30
23,30
23,30
22,30
22,30
23,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
23,30
22,30
22,30
23,30
23,30
22,30
22,30
22,29
22,30
22,29
22,30
22,29
22,29
22,30
22,29
22,29
22,30
23,30
23,30
22,30
22,30
23,29
22,30
22,30
23,30
22,30
22,30
22,30
23,30
22,30
22,30
23,29
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
23,30
23,30
23,30
23,30
22,30
22,30
22,30
23,30
23,31
22,30
23,29
22,29
23,31
22,30
23,30
23,30
22,30
22,30
23,31
23,31
23,29
23,30
22,30
23,30
23,30
22,30
22,30
23,29
23,30
22,30
22,29
23,30
23,30
22,30
22,30
23,30
22,30
23,30
23,30
23,30
23,31
22,29
22,30
22,30
23,30
22,30
23,30
22,30
22,30
23,30
23,29
22,30
22,30
22,29
23,30
23,30
23,30
22,30
23,30
23,30
23,30
22,29
22,30
22,30
22,30
22,30
22,30
22,30
